Scientific_name,Family,SIXLET,Symbol,Wetland,Pathway,SLA ,SLA2,SLA3,HT_matur,HT_matur2,Seed_weight,Seed_weight2,SSG,d13C,d15N,C,N,C.N,RGR,Salin_meas,Salin_meas2,rt_dpt_max,Anae_tol,Drgt_Tol,Fire_tol,Mois_use,Salin_tol,Shade_tol,Growth_R,Lifespan,Sex_repr,Veg_repr,Spread_rt,Resprout,Actual_bloom,Seed_period
Ephedra torreyana,Ephedraceae,EPHTOR,EPTO,UPL,C3,21.57,,,0.6,0.3,25.309,,5.6832,43.1483,1.7351,25.1985,,,,,,0.7,1,4,3,2,4,1,1,4,1,,1,1,Apr - May,
Ephedra viridis,Ephedraceae,EPHVIR,EPVI,UPL,,,,,0.88,,14.578,,,,,,,,,10,,2.4,1,4,4,2,4,2,1,4,1,2,3,1,,Jul - Sep
Equisetum arvense,Equisetaceae,EQUARV,EQAR,FAC,C3 Likely,262.41,,,0.3,0.27432,,,0.19,-28.9244,3.1119,34.5019,1.8267,19.0234,,1.5,,3,4,1,1,4,1,2,3,,1,1,3,2,,
Equisetum x ferrissii ,Equisetaceae,EQUFER,EQFE,FACW,,68.25,,,0.6,,,0.158,-27.6406,4.926,29.9105,1.4973,20.6066,,,,,,,,,,,,,,,,,,,
Equisetum hyemale,Equisetaceae,EQUHYE,EQHY,FACW,C3 Likely,,,,0.6096,,,,,,,,,,,2.1,,1.5,4,2,3,,2,3,,,1,1,,2,,
Eragrostis cilianensis,Poaceae,ERACIL,ERCI,FACU,,,,,0.6096,,0.08,,,,,,,,,,,,,,,,,,,1,1,2,1,2,Jul  -  Sep,
Erodium cicutarium,Geraniaceae,EROCIC,ERCI6,UPL,C3 Likely,159.11,290,,0.3,0.1,2.1,2.1,0.215,-29.0541,3.0389,40.6976,2.281,18.3749,0.052,,,0.5,2,4,3,,,2,,1,1,2,1,2,Feb - Aug,
Eragrostis curvula,Poaceae,ERACUR,ERCU2,UPL,C4,157.13,54.2,,0.9,0.8,0.2,0.2,0.311,,,,,,,,,4.6,2,4,3,3,2,1,3,,1,2,1,2,Aug - Oct,Sep - Oct
Eriastrum eremicum,Polemoniaceae,ERIERE,ERER2,UPL,,125.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum inflatum,Polygonaceae,ERIINF,ERIN4,UPL,,75.6,,,0.69,,0.815,,,,,,,,,,,,,4,,,,,,2,1,2,1,,Mar  -  Oct,
Eragrostis lehmanniana,Poaceae,ERALEH,ERLE,UPL,,150,,,0.45,,0.07,,,,,,,,0.158,,,1.2,1,3,3,2,3,1,3,,1,1,2,2,,Oct - Nov
Ericameria nauseosa,Asteraceae,ERINAU,ERNA10,UPL,,109,109.8901099,,1.1,,1,,,,,,,,,6,,4,,,4,,3,,3,2,1,2,1,1,Aug  -  Oct,Sep - Nov
Eragrostis pectinacea,Poaceae,ERAPEC,ERPE,FAC,,,,,0.375,,0.152,,,,,,,,,,,1.22,,,,,,,,1,1,2,1,,Jul  -  Aug,
Euthamia occidentalis,Asteraceae,EUTOCC,EUOC4,FACW,C3 Likely,196.68,,,0.8,1.25,0.106,0.106,0.387,-30.2088,0.9485,44.5666,2.7476,16.2201,,,,,2,3,4,3,1,1,2,,1,1,2,2,Jun - Oct,"Summer, Fall"
Fallugia paradoxa,Rosaceae,FALPAR,FAPA,UPL,C3,97.1,74.62686567,,1.5,1.8288,1,1,0.578,-26.8613,-0.0993,45.6338,1.7179,27.0177,,,,,1,4,2,2,2,1,3,3,1,1,2,1,Apr - Nov,Jun - Dec
Festuca thurberi,Poaceae,FESTHU,FETH,UPL,,,,,0.68,,1.636,,,,,,,,,,,0.4,3,3,3,2,2,1,2,,1,2,1,2,Jun  -  Aug,Aug - Sep
Fraxinus velutina,Oleaceae,FRAVEL,FRVE2,FAC,,209,135.1351351,,15,,22.2,,,,,,,,0.11,,,2.1,,3,2,2,1,1,2,3,1,2,1,2,Apr  -  Sep,"Summer, Fall"
Funastrum cynanchoides,Asclepiadaceae,FUNCYN,FUCYC,FACU,C3,485.07,,,1.00584,,,,,,,,,,,,,,,,,,,,,,1,2,1,,Apr  -  Jul,
Gutierrezia microcephala,Asteraceae,GUTMIC,GUMI,UPL,C3 Likely,121.36,79,79.36507937,0.65,0.4,0.7356,0.736,0.507,,,,,,,,,0.174,,4,2,,,1,,2,1,2,1,1,Jul  -  Oct,
Gutierrezia sarothrae,Asteraceae,GUTSAR,GUSA2,UPL,C3,193.88,33.9,90,0.48,0.4,0.21,0.21,0.592,-29.514,-0.31,47.9045,1.3702,36.0271,,,,2,1,4,3,3,2,1,2,2,1,2,1,2,May - Nov,"Summer, Fall"
Hesperostipa comata,Poaceae,HESCOM,HECOC8,UPL,,60,,,0.55,,3.732,,,,,,,,0.1,1.15,,1.5,1,4,4,2,1,1,2,,1,2,1,2,May - Jul,Jul
Heliotropium curassavicum,Boraginaceae,HELCUR,HECU3,FACU,,94.7,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,
Hordeum jubatum,Poaceae,HORJUB,HOJU,FAC,C3,207.72,118,,0.285,0.5,2.209,2.209,0.554,,,,,,0.36,39.8,,,,2,2,,4,3,,,1,1,,,Jun  -  Aug,
Hordeum murinum,Poaceae,HORMUR,HOMU,FACU,C3 Likely,468.6,229.5782252,,0.25,,,10.5,0.216,-29.5564,-2.9304,43.1647,4.2213,10.3011,,,,,,,,,,,,,,,,,,
Imperata brevifolia,Poaceae,IMPBRE,IMBR2,FAC,C4 Likely,166.14,,,1.1,1.2192,,,0.248,,,,,,,,,,,,,,,,,,1,1,,,May  -  Oct,
Isocoma acradenia,Asteraceae,ISOACR,ISAC2,FACU,C3,95.74,96,,1.22,1.2192,0.547,0.547,0.575,-29.9225,2.1656,43.6763,2.1102,21.5831,,12,,,2,3,,3,4,,,2,1,2,1,,Jul - Nov,
Juncus acutus,Juncaeae,JUNACU,JUAC2,FACW,,,,,0.95,,0.06,,,,,,,,,8,,0.4,4,,,,3,,,2,1,1,2,,May  -  Jun,Oct
Juncus articulatus,Juncaeae,JUNART,JUAR4,OBL,C3 Likely,101.38,197.08,,0.625,0.35,0.02,0.02,0.181,-28.3269,8.2852,41.2091,2.2523,18.5572,,,,0.23,4,2,4,4,3,2,2,,1,1,2,2,Jun  -  Aug,
Juncus arcticus ssp. littoralis,Juncaeae,JUNARC,JUARL,FACW,,53.07,,,0.265,0.6,0.057,0.048,0.168,-30.1133,7.0737,44.9669,1.3383,34.7649,,,,0.21,4,2,4,4,3,2,3,,1,1,4,2,May  -  Sep,Aug - Sep
Juncus bufonius,Juncaeae,JUNBUF,JUBU,FACW,,,,,0.16,,0.02,,,,,,,,0.19,0.45,,0.01,4,1,,,1,1,,1,1,2,1,2,Apr  -  Sep,May - Oct
Juncus confusus,Juncaeae,JUNCON,JUCO2,FAC,,,,,0.28,,0.02516,,,,,,,,,,,,4,2,4,4,3,2,2,,1,2,1,2,Jun  -  Aug,
Juncus ensifolius,Juncaeae,JUNENS,JUEN,FACW,,,,,0.4,,0.021,,,,,,,,,,,,4,2,4,4,3,2,2,,1,1,3,2,Jul  -  Aug,
Juncus nevadensis,Juncaeae,JUNNEV,JUNE,FACW,,,,,0.45,,0.025,,,,,,,,,,,,4,2,4,4,1,2,2,,1,1,3,2,Jun  -  Aug,
Juncus torreyi,Juncaeae,JUNTOR,JUTO,FACW,C3 Likely,81.84,66.88,,0.5,0.65,0.012,0.012,0.141,-28.6143,4.9542,40.2262,2.2361,18.5841,,5.5,,,4,2,3,3,3,1,2,,1,1,3,2,Jul  -  Sep,
Juncus xiphioides,Juncaeae,JUNXIP,JUXI,OBL,,,,,0.6,,0.0085,,,,,,,,,,,0.15,,,,,,,,,1,1,,2,May  -  Oct,
Kallstroemia californica,Zygophyllaceae,KALCAL,KACA,UPL,,,,,0.01,,,,,,,,,,,,,,,,,,,,,1,1,2,1,,Aug  -  Oct,
Lactuca serriola,Asteraceae,LACSER,LASE,FACU,,158.53,183,,1.05,1.03632,0.58,0.58,0.378,,,,,,0.1,2.93,,0.55,2,4,4,,2,2,,1,1,2,1,,May  -  Sep,
Larrea tridentata,Zygophyllaceae,LARTRI,LATR2,UPL,C3,90.81,39.6,,2,4,4.67,4.67,0.835,,,,,,,1.84,,5,2,4,2,,1,,,4,1,1,2,1,Apr - May,
Lepidium fremontii,Brassicaceae,LEPFRE,LEFR2,UPL,C3 Likely,149.77,,,0.55,0.55,0.374,0.374,0.518,-27.5381,2.3771,39.1261,3.4247,11.4978,,,,,,,,,,,,,1,2,1,,Mar  -  Sep,
Lepidium latifolium,Brassicaceae,LEPLAT,LELA2,FAC,C3 Likely,173.34,,,1.15,0.7,0.1,0.1,0.453,-28.419,2.7827,43.1782,2.4602,17.9274,,,,3,4,3,3,,4,,,,1,1,3,2,Jun  -  Aug,Aug
Loeseliastrum matthewsii,Polemoniaceae,LOEMAT,LOMA10,UPL,,114.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolium perenne,Poaceae,LOLPER,LOPE,FAC,,368,166.6666667,,0.65,,2.2,,,,,,,,0.189,8,,1.4,2,2,2,4,3,1,3,2,1,2,1,2,Jun  -  Aug,Jul - Sep
Lotus wrightii,Fabaceae,LOTWRI,LOWR,UPL,,140,,,0.2,,2.9,,,,,,,,,,,,1,4,2,2,2,2,1,,1,2,1,2,May - Sep,"Spring, Summer"
Lycium cooperi,Solanaceae,LYCCOO,LYCO2,UPL,,79.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycium pallidum,Solanaceae,LYCPAL,LYPA,UPL,,,,,1.5,,188.033,,,,,,,,,,,0.5,1,4,2,3,4,1,2,,1,1,1,1,Apr - Jun,"Summer, Fall"
Machaeranthera canescens,Asteraceae,MACCAN,MACA2,UPL,C3,169.66,110,,0.34,,0.21,0.21,0.499,-27.629,2.9514,45.8803,2.5418,18.0505,,,,,,4,,,,1,,2,1,2,1,2,May  -  Sep,
Mammillaria grahamii,Cactaceae,MAMGRA,MAGR9,UPL,,,,,0.1524,,,,,,,,,,,,,,,,,,,,,,1,2,1,,Apr  -  Sep,
Xanthisma spinulosum,Asteraceae,XANSPI,MAPI,UPL,,212.26,,,0.33,0.55,0.488,0.534,,,,,,,,,,,,,,,,,,2,1,2,1,,Apr  -  Jun,
